name,brand,price,external_sku,internal_sku,simular_sku,tracked
Tesa WS5300 Professional Weather Station,Tesa,179.99,WS5300,WS5300,0,FALSE
Tesa WS1081 Ver3. Complete Weather Station with Solar Panel & PC interface,Tesa,279.0,Tws1081,Tws1081,0,FALSE
"Tesa WS-2980c PRO TESA Prof 7"" Colour WIFI Weather Station",Tesa,339.0,Tws2980,Tws2980,0,FALSE
La Crosse V40-PROV2 WiFi -Complete Colour Weather Station,La Crosse,349.0,V40-PRO,V40-PRO,0,FALSE
Explore Scientific 5-In-1 Professional Weather Station,Bresser - Explore Scientific,499.0,WSX1001-119640,WSX1001-119640,0,FALSE
Davis Vantage Vue - Wireless 6250,Davis,970.0,6250,6250,0,FALSE
BUNDLE Vantage Vue NO Console & WeatherLink Live,Davis,1099.0,6110,6110,0,FALSE
Explore Scientific 7-In-1 Professional Weather Station,Bresser - Explore Scientific,1099.0,WSX3001-119641,WSX3001-119641,0,FALSE
BUNDLE - Vantage Vue with Console & WeatherLink Live,Davis,1499.0,6120,6120,0,FALSE
Davis Vantage Pro2 - Wireless 6152,Davis,1760.0,6152nz,6152nz,0,FALSE
Davis Wireless Vantage Pro2 & Weatherlink Console 6252NZ,Davis,2180.0,6252NZ,6252NZ,0,FALSE
Davis Vantage Pro2 - Wireless 6153 - with 24hr Fan Aspirated Radiation Shield,Davis,2335.0,6153-oos,6153-oos,0,FALSE
Davis Vantage Pro2 PLUS - Cabled 6162C,Davis,3120.0,6162C,6162C,0,FALSE
Davis Wireless Vantage Pro2 Plus with UV & Solar Radiation Sensors and WeatherLink Console 6262NZ,Davis,3450.0,6262NZ,6262NZ,0,FALSE
La Crosse C79790 - Professional WIFI Wireless Weather Station,La Crosse,339.0,C79790,C79790,0,FALSE
La Crosse V22-WRTH - WIFI Weather Station,La Crosse,370.0,V22-WRTH,V22-WRTH,0,FALSE
La Crosse S82950 WiFi Wind w/ AccuWeather Forecast,La Crosse,279.0,S82950,S82950,0,FALSE
La Crosse V21-WTH WIFI Wind Speed & Temperature Humidity Station,La Crosse,269.0,v21-WTH,v21-WTH,0,FALSE
La Crosse 327-1417 Wind Speed Station with Temp & Humidity,La Crosse,219.0,327-1417v2,327-1417v2,0,FALSE
Explore Scientific Rain Gauge with Outdoor Temperature,Bresser - Explore Scientific,109.0,RGT1001-120606,RGT1001-120606,0,FALSE
Explore Scientific Large Screen Personal Weather Station,Bresser - Explore Scientific,99.95,WSH4002-119639,WSH4002-119639,0,FALSE
La Crosse - V10-TH WiFi Colour Weather station,La Crosse,189.0,V10-TH,V10-TH,0,FALSE
La Crosse Digital Rain Monitor with Indoor Temperature - 724-1409,La Crosse,99.99,724-1409,724-1409,0,FALSE
La Crosse Digital Rain Gauge with Indoor/Outdoor Temperature & Backlight 724-1415BL,La Crosse,129.99,724-1415BL,724-1415BL,0,FALSE
Explore Scientific Touch Key Advanced Weather Station,Bresser - Explore Scientific,99.95,WSC4009-120605,WSC4009-120605,0,FALSE
Explore Scientific Projection Clock with Weather Forecast Display and Outdoor Sensor,Bresser - Explore Scientific,109.0,RPW3008-,RPW3008-,0,FALSE
Explore Scientific Projection Clock,Bresser - Explore Scientific,69.95,RDP1001-119648,RDP1001-119648,0,FALSE
La Crosse Pop-Up Bar Projection Alarm Clock (616-1950),La Crosse,99.99,616-1950,616-1950,0,FALSE
iROX LAVA PROJECTION CLOCK,iROX,99.0,LAVA,LAVA,0,FALSE
La Crosse WIFI Projection Alarm Clock with AccuWeather Forecast C82929,La Crosse,175.0,C82929,C82929,0,FALSE
La Crosse Projection Alarm Clock Outdoor Temperature (616-143),La Crosse,124.99,616-143,616-143,0,FALSE
Explore Scientific Indoor-Outdoor Thermometer,Bresser - Explore Scientific,59.95,WSH002-121104,WSH002-121104,0,FALSE
La Crosse WS9500,La Crosse,99.0,ws9500,ws9500,0,FALSE
La Crosse Digital Rain Monitor with Indoor Temperature - 724-2310,La Crosse,105.0,724-2310,724-2310,0,FALSE
"Tesa WS-2980c PRO TESA Prof 7"" Colour WIFI Weather Station",Tesa,339.0,Tws2980,Tws2980,0,FALSE
La Crosse V40-PROV2 WiFi -Complete Colour Weather Station,La Crosse,349.0,V40-PRO,V40-PRO,0,FALSE
BUNDLE - Vantage Vue with Console & WeatherLink Live,Davis,1499.0,6120,6120,0,FALSE
BUNDLE Vantage Vue NO Console & WeatherLink Live,Davis,1099.0,6110,6110,0,FALSE
Davis Wireless Vantage Pro2 & Weatherlink Console 6252NZ,Davis,2180.0,6252NZ,6252NZ,0,FALSE
Explore Scientific 5-In-1 Professional Weather Station,Bresser - Explore Scientific,499.0,WSX1001-119640,WSX1001-119640,0,FALSE
Explore Scientific 7-In-1 Professional Weather Station,Bresser - Explore Scientific,1099.0,WSX3001-119641,WSX3001-119641,0,FALSE
La Crosse V22-WRTH - WIFI Weather Station,La Crosse,370.0,V22-WRTH,V22-WRTH,0,FALSE
La Crosse V21-WTH WIFI Wind Speed & Temperature Humidity Station,La Crosse,269.0,v21-WTH,v21-WTH,0,FALSE
La Crosse - V10-TH WiFi Colour Weather station,La Crosse,189.0,V10-TH,V10-TH,0,FALSE
La Crosse S82950 WiFi Wind w/ AccuWeather Forecast,La Crosse,279.0,S82950,S82950,0,FALSE
La Crosse WIFI Projection Alarm Clock with AccuWeather Forecast C82929,La Crosse,175.0,C82929,C82929,0,FALSE
La Crosse C79790 - Professional WIFI Wireless Weather Station,La Crosse,339.0,C79790,C79790,0,FALSE
Davis Wireless Vantage Pro2 Plus with UV & Solar Radiation Sensors and WeatherLink Console 6262NZ,Davis,3450.0,6262NZ,6262NZ,0,FALSE
Davis 6322NZ Vantage Pro2 Integrated Sensor Suite ISS (Wireless),Davis,1369.0,6322,6322,0,FALSE
Davis 6357M Vantage Vue Integrated Sensor Suite ISS (Wireless),Davis,767.0,6357,6357,0,FALSE
Davis 6450 Solar Radiation Sensor,Davis,537.0,6450,6450,0,FALSE
Davis 6510USB WeatherLink USB for Vantage Vue and PRO 2,Davis,493.0,6510USB,6510USB,0,FALSE
Davis 6614 Solar Power Kit,Davis,865.0,6614,6614,0,FALSE
Davis 6673 Sensor Mounting Shelf for Solar & UV sensors,Davis,110.0,6673,6673,0,FALSE
Davis Leaf & Soil Moisture/Temp Station 6345NZ,Davis,734.0,6345,6345,0,FALSE
Davis Leaf Wetness Sensor 6420,Davis,361.0,6420,6420,0,FALSE
Davis Mounting Pole Kit 7717,Davis,131.0,7717,7717,0,FALSE
Davis Mounting Tripod 7716,Davis,350.0,7716,7716,0,FALSE
Davis Soil Moisture Sensor 6440,Davis,186.0,6440,6440,0,FALSE
Davis Soil Temperature Sensor 6470,Davis,186.0,6470,6470,0,FALSE
Davis Standard Wireless Repeater 7627,Davis,821.0,7627,7627,0,FALSE
Davis Vantage Pro2 GroWeather ISS (Cabled) 6820C,Davis,1807.0,6820C,6820C,0,FALSE
Davis Vantage Pro2 GroWeather ISS 6820NZ ( Wireless),Davis,1971.0,6820nz,6820nz,0,FALSE
Davis WeatherLink Console 6313,Davis,865.0,6313,6313,0,FALSE
EnviroMonitor 3G/LTE Gateway,Davis,2026.0,6803A,6803A,0,FALSE
Explore Scientific Pool - Spa Sensor,Bresser - Explore Scientific,99.95,SP60010-119651,SP60010-119651,0,FALSE
Explore Scientific Thermo Hygro Sensor,Bresser - Explore Scientific,99.95,ST2001H-119650,ST2001H-119650,0,FALSE
iROX HTC13C,iROX,49.0,HTC13C,HTC13C,0,FALSE
iROX HTS12C,iROX,45.0,HTS12C,HTS12C,0,FALSE
iROX HTS55 Tem. & Humidity Sensor,iROX,55.0,HTS55,HTS55,0,FALSE
iROX HWS70 Anemometer,iROX,120.0,HWS70,HWS70,0,FALSE
La Crosse LTV-R3 Rain Sensor for C79790,La Crosse,55.0,LTV-R3,LTV-R3,0,FALSE
La Crosse LTV-TH2 Thermo-Hygro Sensor with LCD,La Crosse,35.0,LTV-TH2,LTV-TH2,0,FALSE
La Crosse LTV-TH3 Thermo-Hygro Sensor with LCD,La Crosse,42.0,LTV-TH3,LTV-TH3,0,FALSE
La Crosse LTV-W1 Wind Sensor,La Crosse,85.0,LTV-W1,LTV-W1,0,FALSE
La Crosse LTV-W1-MB Wind Sensor Mounting Bracket,La Crosse,20.0,LTV-W1-MB,LTV-W1-MB,0,FALSE
La Crosse LTV-WR1 Wind and Rain Gauge Multi Sensor,La Crosse,199.99,LTV-WR1,LTV-WR1,0,FALSE
Oregon Scientific THGR810 Temp. & Humidity Sensor,Oregon Scientific,99.99,THGR810,THGR810,0,FALSE
Oregon Scientific UVN800 UV Sensor,Oregon Scientific,109.0,UVN800,UVN800,0,FALSE
Tesa Prof WIFI Base Station for WS2900C-PRO & WS2980C-PRO,Tesa,150.0,WS2900C-11,WS2900C-11,0,FALSE
Tesa TX29-WRTH Outdoor Multi Sensor for WS 2900C-PRO & 2980C-PRO,Tesa,199.0,TX29-WRTH,TX29-WRTH,0,FALSE
Tesa TX81RW - Complete Multi Sensor For WS1081 WH1081,Tesa,150.0,TX81RW,TX81RW,0,FALSE
Tesa WS1081v2 - Wind Anemometer Cups TX81,Tesa,33.75,TX81V2-CUPS,TX81V2-CUPS,0,FALSE
Tesa WS1081v2 - Wind Direction TX81,Tesa,40.48,TX81-VANE,TX81-VANE,0,FALSE
